"","10"
"a_ACQT0","-9.211867"
"a_AMP","(0..31)"
"a_AMPCOIL","(0..19)"
"a_ANAVPT","-1"
"a_AQSEQ","0"
"a_AQ_mod","3"
"a_AUNM","<au_urine_noesy>"
"a_AUTOPOS","<5  A1 - 501 >"
"a_BF1","600.89"
"a_BF2","600.89"
"a_BF3","600.89"
"a_BF4","600.89"
"a_BF5","600.89"
"a_BF6","600.89"
"a_BF7","600.89"
"a_BF8","600.89"
"a_BYTORDA","0"
"a_CAGPARS","(0..11)"
"a_CFDGTYP","0"
"a_CFRGTYP","9"
"a_CHEMSTR","<none>"
"a_CNST","(0..63)"
"a_CPDPRG","(0..8)"
"a_D","(0..63)"
"a_DATE","2014-10-08 22:44:58"
"a_DE","9.563139"
"a_DECBNUC","<off>"
"a_DECIM","1664"
"a_DECNUC","<off>"
"a_DECSTAT","4"
"a_DIGMOD","3"
"a_DIGTYP","12"
"a_DQDMODE","0"
"a_DR","22"
"a_DS","4"
"a_DSPFIRM","4"
"a_DSPFVS","21"
"a_DTYPA","0"
"a_EXP","<PROF_URINE_NOESY>"
"a_F1LIST","<>"
"a_F2LIST","<>"
"a_F3LIST","<>"
"a_FCUCHAN","(0..9)"
"a_FL1","90"
"a_FL2","90"
"a_FL3","90"
"a_FL4","90"
"a_FOV","20"
"a_FQ1LIST","<freqlist>"
"a_FQ2LIST","<freqlist>"
"a_FQ3LIST","<freqlist>"
"a_FQ4LIST","<freqlist>"
"a_FQ5LIST","<freqlist>"
"a_FQ6LIST","<freqlist>"
"a_FQ7LIST","<freqlist>"
"a_FQ8LIST","<freqlist>"
"a_FRQLO3","357176.7"
"a_FRQLO3N","2"
"a_FS","(0..7)"
"a_FTLPGN","0"
"a_FW","625000"
"a_FnMODE","0"
"a_FnTYPE","0"
"a_GPNAM","(0..31)"
"a_GPX","(0..31)"
"a_GPY","(0..31)"
"a_GPZ","(0..31)"
"a_GRDPROG","<grad_out>"
"a_GRPDLY","76"
"a_HDDUTY","20"
"a_HDRATE","1"
"a_HGAIN","(0..3)"
"a_HL1","1"
"a_HL2","35"
"a_HL3","16"
"a_HL4","17"
"a_HOLDER","501"
"a_HPMOD","(0..7)"
"a_HPPRGN","0"
"a_IN","(0..63)"
"a_INF","(0..7)"
"a_INP","(0..63)"
"a_INSTRUM","<spect>"
"a_L","(0..31)"
"a_LFILTER","100"
"a_LGAIN","-5"
"a_LINPSTP","0"
"a_LOCKED","yes"
"a_LOCKFLD","1534"
"a_LOCKGN","113.373"
"a_LOCKPOW","-18"
"a_LOCKPPM","4.7"
"a_LOCNUC","<2H>"
"a_LOCPHAS","199.8612"
"a_LOCSHFT","yes"
"a_LOCSW","0"
"a_LTIME","0.35"
"a_MASR","4200"
"a_MASRLST","<masrlst>"
"a_MULEXPNO","(0..15)"
"a_NBL","1"
"a_NC","-6"
"a_NLOGCH","2"
"a_NOVFLW","0"
"a_NS","32"
"a_NUC1","<1H>"
"a_NUC2","<off>"
"a_NUC3","<off>"
"a_NUC4","<off>"
"a_NUC5","<off>"
"a_NUC6","<off>"
"a_NUC7","<off>"
"a_NUC8","<off>"
"a_NUCLEUS","<off>"
"a_NUSLIST","<automatic>"
"a_NusAMOUNT","25"
"a_NusFPNZ","no"
"a_NusJSP","0"
"a_NusSEED","54321"
"a_NusT2","1"
"a_NusTD","0"
"a_O1","2823.29"
"a_O2","2835.208"
"a_O3","2835.208"
"a_O4","2835.208"
"a_O5","2835.208"
"a_O6","2835.208"
"a_O7","2835.208"
"a_O8","2835.208"
"a_OVERFLW","0"
"a_P","(0..63)"
"a_PACOIL","(0..15)"
"a_PAPS","2"
"a_PARMODE","0"
"a_PCPD","(0..9)"
"a_PEXSEL","(0..9)"
"a_PHCOR","(0..31)"
"a_PHLIST","<>"
"a_PHP","1"
"a_PH_ref","0"
"a_PL","(0..63)"
"a_PLSTEP","0.1"
"a_PLSTRT","-6"
"a_PLW","(0..63)"
"a_PLWMAX","(0..7)"
"a_POWMOD","0"
"a_PQPHASE","0"
"a_PQSCALE","1"
"a_PR","1"
"a_PRECHAN","(0..15)"
