SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/110/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 470 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   8.263e-001    4.947e-001  
T     =       3.212s        5.776s  

RSS   =   4.541e-003
SD    =   1.230e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.021e+000    2.128e-002
    2       2.000s    8.255e-001    7.932e-001   -3.226e-002
    3       3.000s    6.382e-001    6.190e-001   -1.919e-002
    4       4.000s    4.802e-001    4.854e-001    5.176e-003
    5       5.000s    3.629e-001    3.824e-001    1.948e-002
    6       6.000s    2.806e-001    3.027e-001    2.207e-002
    7       7.000s    2.237e-001    2.407e-001    1.702e-002
    8       8.000s    1.867e-001    1.923e-001    5.606e-003
    9       9.000s    1.610e-001    1.543e-001   -6.687e-003
   10      10.000s    1.382e-001    1.243e-001   -1.382e-002
   11      11.000s    1.166e-001    1.006e-001   -1.604e-002
   12      12.000s    9.531e-002    8.168e-002   -1.364e-002
   13      13.000s    7.646e-002    6.655e-002   -9.912e-003
   14      14.000s    6.344e-002    5.441e-002   -9.033e-003
   15      15.000s    5.188e-002    4.461e-002   -7.272e-003
   16      16.000s    3.965e-002    3.668e-002   -2.974e-003
   17      17.000s    2.869e-002    3.023e-002    1.539e-003
   18      18.000s    1.872e-002    2.497e-002    6.252e-003
   19      19.000s    1.222e-002    2.067e-002    8.452e-003
   20      20.000s    8.982e-003    1.714e-002    8.163e-003
   21      21.000s    4.536e-003    1.424e-002    9.706e-003
   22      22.000s    1.269e-003    1.185e-002    1.058e-002
   23      23.000s    1.615e-003    9.870e-003    8.254e-003
   24      24.000s    1.664e-003    8.231e-003    6.567e-003
   25      25.000s    1.126e-003    6.871e-003    5.746e-003
   26      26.000s    2.617e-003    5.742e-003    3.125e-003
   27      27.000s    3.987e-003    4.802e-003    8.145e-004
   28      28.000s    3.264e-003    4.018e-003    7.543e-004
   29      29.000s    3.319e-003    3.365e-003    4.610e-005
   30      30.000s    4.718e-003    2.819e-003   -1.898e-003

============================================================

