SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/130/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 484 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.083e+000    2.280e-001  
T     =       3.266s       10.069s  

RSS   =   1.950e-003
SD    =   8.061e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.004e+000    3.980e-003
    2       2.000s    7.854e-001    7.741e-001   -1.130e-002
    3       3.000s    6.017e-001    6.016e-001   -1.206e-004
    4       4.000s    4.642e-001    4.715e-001    7.375e-003
    5       5.000s    3.649e-001    3.731e-001    8.229e-003
    6       6.000s    2.932e-001    2.982e-001    4.983e-003
    7       7.000s    2.415e-001    2.408e-001   -6.998e-004
    8       8.000s    2.021e-001    1.965e-001   -5.605e-003
    9       9.000s    1.686e-001    1.621e-001   -6.478e-003
   10      10.000s    1.405e-001    1.351e-001   -5.368e-003
   11      11.000s    1.185e-001    1.138e-001   -4.748e-003
   12      12.000s    1.018e-001    9.672e-002   -5.055e-003
   13      13.000s    8.847e-002    8.293e-002   -5.546e-003
   14      14.000s    7.509e-002    7.166e-002   -3.420e-003
   15      15.000s    6.185e-002    6.237e-002    5.201e-004
   16      16.000s    5.110e-002    5.462e-002    3.515e-003
   17      17.000s    4.191e-002    4.809e-002    6.177e-003
   18      18.000s    3.397e-002    4.254e-002    8.562e-003
   19      19.000s    2.765e-002    3.777e-002    1.012e-002
   20      20.000s    2.359e-002    3.366e-002    1.007e-002
   21      21.000s    2.221e-002    3.008e-002    7.861e-003
   22      22.000s    2.012e-002    2.694e-002    6.815e-003
   23      23.000s    1.695e-002    2.417e-002    7.223e-003
   24      24.000s    1.648e-002    2.173e-002    5.243e-003
   25      25.000s    1.789e-002    1.956e-002    1.668e-003
   26      26.000s    1.939e-002    1.762e-002   -1.773e-003
   27      27.000s    2.193e-002    1.589e-002   -6.041e-003
   28      28.000s    2.617e-002    1.434e-002   -1.183e-002
   29      29.000s    3.104e-002    1.295e-002   -1.809e-002
   30      30.000s    3.269e-002    1.170e-002   -2.099e-002

============================================================

