SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/140/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 137 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.233e+000    2.022e-002  
T     =       4.868s      124.497s  

RSS   =   3.547e-003
SD    =   1.087e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.024e+000    2.392e-002
    2       2.000s    8.590e-001    8.373e-001   -2.162e-002
    3       3.000s    7.106e-001    6.854e-001   -2.520e-002
    4       4.000s    5.709e-001    5.616e-001   -9.267e-003
    5       5.000s    4.532e-001    4.608e-001    7.624e-003
    6       6.000s    3.605e-001    3.787e-001    1.816e-002
    7       7.000s    2.917e-001    3.118e-001    2.006e-002
    8       8.000s    2.436e-001    2.573e-001    1.366e-002
    9       9.000s    2.088e-001    2.129e-001    4.087e-003
   10      10.000s    1.810e-001    1.767e-001   -4.377e-003
   11      11.000s    1.570e-001    1.472e-001   -9.852e-003
   12      12.000s    1.352e-001    1.231e-001   -1.204e-002
   13      13.000s    1.141e-001    1.035e-001   -1.062e-002
   14      14.000s    9.404e-002    8.754e-002   -6.500e-003
   15      15.000s    7.801e-002    7.449e-002   -3.519e-003
   16      16.000s    6.517e-002    6.384e-002   -1.327e-003
   17      17.000s    5.285e-002    5.515e-002    2.295e-003
   18      18.000s    4.340e-002    4.804e-002    4.645e-003
   19      19.000s    3.846e-002    4.223e-002    3.770e-003
   20      20.000s    3.660e-002    3.747e-002    8.680e-004
   21      21.000s    3.397e-002    3.357e-002   -3.951e-004
   22      22.000s    2.819e-002    3.037e-002    2.178e-003
   23      23.000s    2.281e-002    2.774e-002    4.937e-003
   24      24.000s    1.894e-002    2.558e-002    6.634e-003
   25      25.000s    1.634e-002    2.379e-002    7.449e-003
   26      26.000s    1.746e-002    2.231e-002    4.852e-003
   27      27.000s    2.047e-002    2.108e-002    6.121e-004
   28      28.000s    2.425e-002    2.006e-002   -4.187e-003
   29      29.000s    2.785e-002    1.921e-002   -8.645e-003
   30      30.000s    2.717e-002    1.849e-002   -8.686e-003

============================================================

