SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/150/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 122 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.302e+000    -7.246e-002  
T     =       5.433s      240.347s  

RSS   =   5.313e-003
SD    =   1.331e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.011e+000    1.100e-002
    2       2.000s    8.508e-001    8.292e-001   -2.164e-002
    3       3.000s    6.888e-001    6.780e-001   -1.081e-002
    4       4.000s    5.427e-001    5.523e-001    9.568e-003
    5       5.000s    4.400e-001    4.478e-001    7.793e-003
    6       6.000s    3.539e-001    3.608e-001    6.966e-003
    7       7.000s    2.751e-001    2.886e-001    1.352e-002
    8       8.000s    2.254e-001    2.285e-001    3.157e-003
    9       9.000s    1.836e-001    1.786e-001   -4.966e-003
   10      10.000s    1.330e-001    1.371e-001    4.152e-003
   11      11.000s    9.495e-002    1.027e-001    7.731e-003
   12      12.000s    6.941e-002    7.407e-002    4.658e-003
   13      13.000s    4.962e-002    5.031e-002    6.907e-004
   14      14.000s    3.642e-002    3.060e-002   -5.818e-003
   15      15.000s    2.021e-002    1.425e-002   -5.969e-003
   16      16.000s    8.977e-003    6.871e-004   -8.290e-003
   17      17.000s    1.219e-002    -1.055e-002   -2.273e-002
   18      18.000s    1.264e-002    -1.984e-002   -3.249e-002
   19      19.000s    -7.487e-004    -2.753e-002   -2.678e-002
   20      20.000s    -2.085e-002    -3.388e-002   -1.303e-002
   21      21.000s    -3.781e-002    -3.912e-002   -1.305e-003
   22      22.000s    -4.908e-002    -4.343e-002    5.650e-003
   23      23.000s    -5.957e-002    -4.697e-002    1.260e-002
   24      24.000s    -6.948e-002    -4.987e-002    1.961e-002
   25      25.000s    -7.482e-002    -5.224e-002    2.258e-002
   26      26.000s    -7.175e-002    -5.417e-002    1.759e-002
   27      27.000s    -6.338e-002    -5.572e-002    7.661e-003
   28      28.000s    -6.061e-002    -5.697e-002    3.640e-003
   29      29.000s    -5.942e-002    -5.797e-002    1.449e-003
   30      30.000s    -5.401e-002    -5.876e-002   -4.743e-003

============================================================

