SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/160/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.207e+000    -1.226e-002  
T     =       5.703s    85958974017565.344s  

RSS   =   1.060e-003
SD    =   5.945e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.000e+000    4.835e-004
    2       2.000s    8.485e-001    8.376e-001   -1.090e-002
    3       3.000s    7.033e-001    7.009e-001   -2.399e-003
    4       4.000s    5.779e-001    5.862e-001    8.289e-003
    5       5.000s    4.781e-001    4.900e-001    1.188e-002
    6       6.000s    4.009e-001    4.092e-001    8.297e-003
    7       7.000s    3.368e-001    3.414e-001    4.604e-003
    8       8.000s    2.840e-001    2.845e-001    4.735e-004
    9       9.000s    2.418e-001    2.368e-001   -5.004e-003
   10      10.000s    2.038e-001    1.967e-001   -7.110e-003
   11      11.000s    1.691e-001    1.631e-001   -5.949e-003
   12      12.000s    1.389e-001    1.349e-001   -3.968e-003
   13      13.000s    1.137e-001    1.112e-001   -2.494e-003
   14      14.000s    9.509e-002    9.138e-002   -3.711e-003
   15      15.000s    7.970e-002    7.471e-002   -4.986e-003
   16      16.000s    6.557e-002    6.072e-002   -4.846e-003
   17      17.000s    5.586e-002    4.898e-002   -6.873e-003
   18      18.000s    4.623e-002    3.913e-002   -7.095e-003
   19      19.000s    3.155e-002    3.087e-002   -6.841e-004
   20      20.000s    1.776e-002    2.393e-002    6.170e-003
   21      21.000s    9.309e-003    1.811e-002    8.801e-003
   22      22.000s    4.864e-003    1.323e-002    8.361e-003
   23      23.000s    4.050e-003    9.126e-003    5.077e-003
   24      24.000s    2.485e-003    5.687e-003    3.201e-003
   25      25.000s    -3.092e-003    2.800e-003    5.892e-003
   26      26.000s    -5.664e-003    3.777e-004    6.041e-003
   27      27.000s    -2.209e-003    -1.655e-003    5.542e-004
   28      28.000s    1.826e-004    -3.361e-003   -3.543e-003
   29      29.000s    -6.729e-004    -4.792e-003   -4.119e-003
   30      30.000s    -1.556e-003    -5.993e-003   -4.437e-003

============================================================

