SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/170/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 274 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.089e+000    1.880e-001  
T     =       5.429s        1.542s  

RSS   =   1.856e-003
SD    =   7.866e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.004e+000    4.200e-003
    2       2.000s    8.161e-001    8.049e-001   -1.119e-002
    3       3.000s    6.543e-001    6.536e-001   -6.528e-004
    4       4.000s    5.292e-001    5.354e-001    6.161e-003
    5       5.000s    4.317e-001    4.410e-001    9.323e-003
    6       6.000s    3.550e-001    3.645e-001    9.574e-003
    7       7.000s    2.985e-001    3.020e-001    3.513e-003
    8       8.000s    2.578e-001    2.506e-001   -7.221e-003
    9       9.000s    2.215e-001    2.081e-001   -1.334e-002
   10      10.000s    1.830e-001    1.729e-001   -1.009e-002
   11      11.000s    1.479e-001    1.438e-001   -4.128e-003
   12      12.000s    1.218e-001    1.195e-001   -2.269e-003
   13      13.000s    1.027e-001    9.940e-002   -3.312e-003
   14      14.000s    8.688e-002    8.267e-002   -4.210e-003
   15      15.000s    7.304e-002    6.875e-002   -4.282e-003
   16      16.000s    6.006e-002    5.719e-002   -2.874e-003
   17      17.000s    4.789e-002    4.756e-002   -3.263e-004
   18      18.000s    3.735e-002    3.956e-002    2.212e-003
   19      19.000s    2.868e-002    3.291e-002    4.222e-003
   20      20.000s    2.142e-002    2.737e-002    5.952e-003
   21      21.000s    1.281e-002    2.277e-002    9.952e-003
   22      22.000s    4.454e-003    1.894e-002    1.448e-002
   23      23.000s    1.536e-003    1.575e-002    1.421e-002
   24      24.000s    7.590e-004    1.310e-002    1.234e-002
   25      25.000s    -7.048e-005    1.090e-002    1.097e-002
   26      26.000s    2.435e-003    9.065e-003    6.630e-003
   27      27.000s    3.266e-003    7.540e-003    4.274e-003
   28      28.000s    -7.951e-004    6.271e-003    7.067e-003
   29      29.000s    -3.887e-003    5.216e-003    9.104e-003
   30      30.000s    -1.794e-003    4.339e-003    6.133e-003

============================================================

