SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/70/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 292 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.262e+000    -2.424e-002  
T     =       5.153s       37.455s  

RSS   =   1.451e-003
SD    =   6.955e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.016e+000    1.579e-002
    2       2.000s    8.462e-001    8.331e-001   -1.308e-002
    3       3.000s    7.001e-001    6.827e-001   -1.742e-002
    4       4.000s    5.667e-001    5.589e-001   -7.793e-003
    5       5.000s    4.524e-001    4.571e-001    4.697e-003
    6       6.000s    3.603e-001    3.733e-001    1.297e-002
    7       7.000s    2.906e-001    3.043e-001    1.368e-002
    8       8.000s    2.402e-001    2.476e-001    7.420e-003
    9       9.000s    1.986e-001    2.010e-001    2.459e-003
   10      10.000s    1.633e-001    1.627e-001   -6.014e-004
   11      11.000s    1.362e-001    1.312e-001   -4.978e-003
   12      12.000s    1.107e-001    1.054e-001   -5.355e-003
   13      13.000s    8.756e-002    8.414e-002   -3.427e-003
   14      14.000s    7.204e-002    6.673e-002   -5.309e-003
   15      15.000s    5.967e-002    5.246e-002   -7.218e-003
   16      16.000s    4.576e-002    4.077e-002   -4.995e-003
   17      17.000s    3.133e-002    3.120e-002   -1.232e-004
   18      18.000s    2.091e-002    2.339e-002    2.481e-003
   19      19.000s    1.575e-002    1.702e-002    1.269e-003
   20      20.000s    9.901e-003    1.182e-002    1.924e-003
   21      21.000s    3.877e-003    7.607e-003    3.730e-003
   22      22.000s    1.966e-003    4.189e-003    2.224e-003
   23      23.000s    4.207e-004    1.429e-003    1.009e-003
   24      24.000s    -2.599e-003    -7.907e-004    1.809e-003
   25      25.000s    -5.086e-003    -2.567e-003    2.519e-003
   26      26.000s    -6.242e-003    -3.980e-003    2.262e-003
   27      27.000s    -4.975e-003    -5.094e-003   -1.195e-004
   28      28.000s    -3.791e-003    -5.964e-003   -2.173e-003
   29      29.000s    -4.800e-003    -6.634e-003   -1.835e-003
   30      30.000s    -5.356e-003    -7.141e-003   -1.785e-003

============================================================

