SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/80/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 144 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.352e+000    -1.439e-001  
T     =       4.933s        4.933s  

RSS   =   7.903e-003
SD    =   1.623e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    9.864e-001   -1.360e-002
    2       2.000s    8.247e-001    8.054e-001   -1.931e-002
    3       3.000s    6.501e-001    6.576e-001    7.483e-003
    4       4.000s    5.084e-001    5.370e-001    2.857e-002
    5       5.000s    4.018e-001    4.384e-001    3.661e-002
    6       6.000s    3.283e-001    3.580e-001    2.973e-002
    7       7.000s    2.838e-001    2.923e-001    8.534e-003
    8       8.000s    2.527e-001    2.387e-001   -1.401e-002
    9       9.000s    2.235e-001    1.949e-001   -2.865e-002
   10      10.000s    1.939e-001    1.591e-001   -3.478e-002
   11      11.000s    1.596e-001    1.299e-001   -2.969e-002
   12      12.000s    1.236e-001    1.061e-001   -1.756e-002
   13      13.000s    9.644e-002    8.662e-002   -9.821e-003
   14      14.000s    7.798e-002    7.073e-002   -7.255e-003
   15      15.000s    6.154e-002    5.775e-002   -3.793e-003
   16      16.000s    4.635e-002    4.715e-002    8.002e-004
   17      17.000s    3.349e-002    3.850e-002    5.006e-003
   18      18.000s    2.388e-002    3.144e-002    7.555e-003
   19      19.000s    1.910e-002    2.567e-002    6.572e-003
   20      20.000s    1.551e-002    2.096e-002    5.452e-003
   21      21.000s    8.285e-003    1.711e-002    8.828e-003
   22      22.000s    1.187e-003    1.397e-002    1.279e-002
   23      23.000s    1.370e-004    1.141e-002    1.127e-002
   24      24.000s    2.903e-003    9.316e-003    6.413e-003
   25      25.000s    4.688e-003    7.606e-003    2.918e-003
   26      26.000s    5.460e-003    6.211e-003    7.504e-004
   27      27.000s    5.297e-003    5.071e-003   -2.261e-004
   28      28.000s    3.485e-003    4.141e-003    6.553e-004
   29      29.000s    3.646e-003    3.381e-003   -2.650e-004
   30      30.000s    7.291e-003    2.761e-003   -4.530e-003

============================================================

