SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/80/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.276e+000    9.230e-003  
T     =       4.587s    55708552317820.672s  

RSS   =   4.052e-003
SD    =   1.162e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.036e+000    3.550e-002
    2       2.000s    8.570e-001    8.345e-001   -2.249e-002
    3       3.000s    7.011e-001    6.728e-001   -2.828e-002
    4       4.000s    5.605e-001    5.429e-001   -1.762e-002
    5       5.000s    4.427e-001    4.383e-001   -4.414e-003
    6       6.000s    3.503e-001    3.543e-001    4.028e-003
    7       7.000s    2.779e-001    2.867e-001    8.782e-003
    8       8.000s    2.215e-001    2.323e-001    1.087e-002
    9       9.000s    1.787e-001    1.886e-001    9.989e-003
   10      10.000s    1.423e-001    1.535e-001    1.124e-002
   11      11.000s    1.125e-001    1.252e-001    1.277e-002
   12      12.000s    9.377e-002    1.025e-001    8.744e-003
   13      13.000s    7.924e-002    8.424e-002    5.004e-003
   14      14.000s    6.528e-002    6.955e-002    4.271e-003
   15      15.000s    5.698e-002    5.774e-002    7.521e-004
   16      16.000s    5.110e-002    4.824e-002   -2.867e-003
   17      17.000s    4.390e-002    4.060e-002   -3.308e-003
   18      18.000s    3.826e-002    3.445e-002   -3.809e-003
   19      19.000s    3.334e-002    2.951e-002   -3.832e-003
   20      20.000s    2.849e-002    2.554e-002   -2.950e-003
   21      21.000s    2.399e-002    2.234e-002   -1.646e-003
   22      22.000s    1.748e-002    1.978e-002    2.300e-003
   23      23.000s    1.248e-002    1.771e-002    5.225e-003
   24      24.000s    1.263e-002    1.605e-002    3.419e-003
   25      25.000s    1.403e-002    1.471e-002    6.830e-004
   26      26.000s    1.536e-002    1.364e-002   -1.720e-003
   27      27.000s    1.636e-002    1.278e-002   -3.581e-003
   28      28.000s    1.595e-002    1.208e-002   -3.872e-003
   29      29.000s    1.916e-002    1.152e-002   -7.637e-003
   30      30.000s    2.662e-002    1.107e-002   -1.555e-002

============================================================

